Match_ID,Date,Competition,Home_Team,Away_Team,Home_Rank,Away_Rank,Home_Elo,Away_Elo,Home_Goals,Away_Goals,Goal_Diff,Home_Form,Away_Form,Home_Win_Pct,Away_Win_Pct,Clean_Sheet_Pct,Host_Advantage,Continent_Advantage,Result,Year,Month,Total Goals,Rank Difference,Teams,Total Match Played,Total Win,Win %,Trim Home_TEAM,Trim Away_TEAM,Team,,
148,29-05-2015,Friendly,Italy,Austria,16,11,1959,1963,0,0,0,2.17,4.8,82,79,60,1,1,Draw,2015,5,0,5,,,,,Italy,Austria,,,
149,30-05-2015,World Cup,Croatia,Canada,30,5,2143,1791,4,2,2,2.35,3.93,80,82,27,0,0,Home Win,2015,5,6,25,,,,,Croatia,Canada,,,
150,31-05-2015,World Cup,Senegal,Uruguay,19,2,1904,1911,2,4,-2,4.53,3.11,63,56,63,1,0,Away Win,2015,5,6,17,,,,,Senegal,Uruguay,,,
151,01-06-2015,Continental Cup,Colombia,Netherlands,4,26,1845,1796,4,5,-1,2.76,4.36,59,75,56,0,1,Away Win,2015,6,9,-22,,,,,Colombia,Netherlands,,,
152,02-06-2015,WC Qualifier,Canada,Switzerland,12,1,1863,2024,0,1,-1,2.11,2.43,45,83,28,0,1,Away Win,2015,6,1,11,,,,,Canada,Switzerland,,,
153,03-06-2015,Friendly,Portugal,Denmark,24,13,2102,1961,2,2,0,3.44,4.51,70,56,29,1,1,Draw,2015,6,4,11,,,,,Portugal,Denmark,,,
154,04-06-2015,Friendly,Nigeria,England,11,1,2111,1953,4,0,4,4.4,3.1,55,50,63,0,1,Home Win,2015,6,4,10,,,,,Nigeria,England,,,
155,05-06-2015,World Cup,Netherlands,Portugal,30,4,1968,2172,4,2,2,3.93,4.97,51,64,53,1,0,Home Win,2015,6,6,26,,,,,Netherlands,Portugal,,,
156,06-06-2015,Nations League,Netherlands,Denmark,21,25,2046,1763,5,1,4,4.46,4.22,50,56,33,1,0,Home Win,2015,6,6,-4,,,,,Netherlands,Denmark,,,
157,07-06-2015,Continental Cup,France,Denmark,10,2,2186,1968,2,0,2,4.32,4.57,70,43,25,0,0,Home Win,2015,6,2,8,,,,,France,Denmark,,,
158,08-06-2015,WC Qualifier,Denmark,Italy,18,7,1863,1995,2,1,1,2.87,2.15,41,53,42,0,1,Home Win,2015,6,3,11,,,,,Denmark,Italy,,,
159,09-06-2015,Nations League,Turkey,USA,25,8,2024,2159,3,2,1,4.64,4.18,53,55,26,1,1,Home Win,2015,6,5,17,,,,,Turkey,USA,,,
160,10-06-2015,Nations League,Portugal,Poland,17,27,1841,1781,1,2,-1,4.56,4.85,50,53,42,1,0,Away Win,2015,6,3,-10,,,,,Portugal,Poland,,,
161,11-06-2015,World Cup,Sweden,Denmark,1,21,2026,2147,2,3,-1,4.5,3.45,68,69,30,0,0,Away Win,2015,6,5,-20,,,,,Sweden,Denmark,,,
162,12-06-2015,World Cup,Australia,Austria,9,17,1855,1987,5,2,3,3.15,3.24,64,83,51,1,1,Home Win,2015,6,7,-8,,,,,Australia,Austria,,,
163,13-06-2015,World Cup,Canada,Belgium,15,5,2133,1922,3,0,3,3.58,4.34,80,43,36,1,0,Home Win,2015,6,3,10,,,,,Canada,Belgium,,,
164,14-06-2015,World Cup,Norway,Portugal,14,19,1833,1918,2,3,-1,3.5,3.87,49,48,52,1,0,Away Win,2015,6,5,-5,,,,,Norway,Portugal,,,
165,15-06-2015,Continental Cup,Poland,Morocco,24,29,2148,1766,0,3,-3,2.35,2.92,56,82,51,0,0,Away Win,2015,6,3,-5,,,,,Poland,Morocco,,,
166,16-06-2015,World Cup,Germany,Colombia,16,2,1794,1770,2,3,-1,2.86,4.61,48,84,53,1,1,Away Win,2015,6,5,14,,,,,Germany,Colombia,,,
167,17-06-2015,Nations League,USA,Italy,16,11,2059,1976,3,3,0,4.62,2.41,73,45,64,0,0,Draw,2015,6,6,5,,,,,USA,Italy,,,
168,18-06-2015,Nations League,Turkey,Austria,20,9,2076,1903,1,2,-1,3.39,2.18,41,75,54,1,0,Away Win,2015,6,3,11,,,,,Turkey,Austria,,,
169,19-06-2015,Continental Cup,England,Germany,6,30,2066,2049,5,3,2,3.93,2.25,60,45,33,1,0,Home Win,2015,6,8,-24,,,,,England,Germany,,,
170,20-06-2015,World Cup,USA,Uruguay,13,17,1861,2194,4,5,-1,2.84,4.74,40,40,43,1,0,Away Win,2015,6,9,-4,,,,,USA,Uruguay,,,
171,21-06-2015,World Cup,Argentina,Uruguay,9,28,1782,1865,4,0,4,4.84,4.68,71,81,41,1,1,Home Win,2015,6,4,-19,,,,,Argentina,Uruguay,,,
172,22-06-2015,World Cup,Belgium,Croatia,28,14,2195,1901,5,2,3,3.12,2.31,83,55,48,1,0,Home Win,2015,6,7,14,,,,,Belgium,Croatia,,,
173,23-06-2015,Continental Cup,Colombia,Uruguay,6,16,1922,2034,3,0,3,3.26,4.58,49,75,39,0,0,Home Win,2015,6,3,-10,,,,,Colombia,Uruguay,,,
174,24-06-2015,Friendly,Austria,Italy,20,14,1777,2096,3,3,0,2.64,3.16,66,83,39,0,0,Draw,2015,6,6,6,,,,,Austria,Italy,,,
175,25-06-2015,Continental Cup,Portugal,Switzerland,27,8,1976,1764,5,2,3,3.12,3.31,76,74,40,1,0,Home Win,2015,6,7,19,,,,,Portugal,Switzerland,,,
176,26-06-2015,Friendly,Croatia,Denmark,2,6,2053,2170,4,1,3,2.2,2.29,60,58,42,1,1,Home Win,2015,6,5,-4,,,,,Croatia,Denmark,,,
177,27-06-2015,Continental Cup,France,Netherlands,25,6,1999,1951,3,0,3,3.41,2.12,59,72,25,0,1,Home Win,2015,6,3,19,,,,,France,Netherlands,,,
178,28-06-2015,World Cup,France,Nigeria,10,10,1987,1997,5,0,5,2.32,4.1,76,75,35,0,0,Home Win,2015,6,5,0,,,,,France,Nigeria,,,
179,29-06-2015,Continental Cup,Belgium,Japan,3,10,2182,2016,4,5,-1,2.78,2.1,55,65,27,0,0,Away Win,2015,6,9,-7,,,,,Belgium,Japan,,,
180,30-06-2015,World Cup,Brazil,Nigeria,29,20,2039,1976,4,4,0,4.3,3.44,74,75,59,0,0,Draw,2015,6,8,9,,,,,Brazil,Nigeria,,,
181,01-07-2015,Continental Cup,Mexico,Uruguay,11,21,1865,1841,3,1,2,4.54,4.3,70,62,46,0,1,Home Win,2015,7,4,-10,,,,,Mexico,Uruguay,,,
182,02-07-2015,Friendly,Germany,Mexico,25,18,1881,1899,5,5,0,4.23,4.17,42,82,45,1,1,Draw,2015,7,10,7,,,,,Germany,Mexico,,,
183,03-07-2015,Continental Cup,South Korea,Belgium,12,11,2110,2137,3,2,1,4.27,3.93,65,53,31,0,0,Home Win,2015,7,5,1,,,,,South Korea,Belgium,,,
184,04-07-2015,WC Qualifier,Nigeria,Netherlands,12,6,1888,1753,0,4,-4,3.63,3.22,50,42,32,0,1,Away Win,2015,7,4,6,,,,,Nigeria,Netherlands,,,
185,05-07-2015,Friendly,Norway,Uruguay,30,17,1795,2102,4,5,-1,3.48,4.29,76,48,41,1,0,Away Win,2015,7,9,13,,,,,Norway,Uruguay,,,
186,06-07-2015,Friendly,Turkey,Brazil,11,23,2129,2011,2,3,-1,2.4,4.26,51,52,41,1,0,Away Win,2015,7,5,-12,,,,,Turkey,Brazil,,,
187,07-07-2015,World Cup,Denmark,Switzerland,17,16,1989,2173,5,1,4,3.27,4.93,44,85,34,0,0,Home Win,2015,7,6,1,,,,,Denmark,Switzerland,,,
188,08-07-2015,Friendly,Norway,Mexico,8,3,2190,1853,0,1,-1,4.47,2.46,81,72,27,1,0,Away Win,2015,7,1,5,,,,,Norway,Mexico,,,
189,09-07-2015,World Cup,Brazil,Italy,3,4,1993,1828,3,3,0,4.95,4.78,42,63,41,1,0,Draw,2015,7,6,-1,,,,,Brazil,Italy,,,
190,10-07-2015,Continental Cup,Turkey,Italy,30,12,1778,1759,2,1,1,3.5,3.97,85,59,46,0,1,Home Win,2015,7,3,18,,,,,Turkey,Italy,,,
191,11-07-2015,WC Qualifier,Colombia,Canada,21,2,1761,2189,0,1,-1,2.94,4.84,60,62,42,1,0,Away Win,2015,7,1,19,,,,,Colombia,Canada,,,
192,12-07-2015,Friendly,Italy,Austria,14,27,2063,1783,2,4,-2,4.15,3.06,64,77,60,1,1,Away Win,2015,7,6,-13,,,,,Italy,Austria,,,
193,13-07-2015,Continental Cup,Nigeria,Senegal,24,3,2072,1857,2,0,2,2.41,4.84,60,59,56,1,0,Home Win,2015,7,2,21,,,,,Nigeria,Senegal,,,
194,14-07-2015,Friendly,Sweden,France,11,27,1823,1826,5,0,5,3.98,2.86,85,74,56,0,1,Home Win,2015,7,5,-16,,,,,Sweden,France,,,
195,15-07-2015,Continental Cup,England,Senegal,24,6,1966,2168,0,4,-4,3.7,2.04,51,80,64,1,1,Away Win,2015,7,4,18,,,,,England,Senegal,,,
196,16-07-2015,Nations League,Canada,Senegal,29,6,2068,1998,5,1,4,4.98,4.85,73,43,27,0,0,Home Win,2015,7,6,23,,,,,Canada,Senegal,,,
197,17-07-2015,World Cup,Norway,Serbia,27,25,1982,2050,5,3,2,3.6,2.38,52,74,43,0,0,Home Win,2015,7,8,2,,,,,Norway,Serbia,,,
198,18-07-2015,Nations League,Mexico,Japan,6,27,2015,1933,5,5,0,3.11,2.28,58,73,34,1,0,Draw,2015,7,10,-21,,,,,Mexico,Japan,,,
199,19-07-2015,Nations League,Nigeria,Croatia,8,13,2120,2104,4,3,1,3.24,4.34,79,42,51,1,1,Home Win,2015,7,7,-5,,,,,Nigeria,Croatia,,,
200,20-07-2015,Continental Cup,Serbia,Switzerland,1,16,1906,1965,1,4,-3,2.9,2.94,63,80,60,0,0,Away Win,2015,7,5,-15,,,,,Serbia,Switzerland,,,
201,21-07-2015,Nations League,Sweden,South Korea,6,27,1770,2175,2,0,2,4.78,4.46,63,46,59,0,0,Home Win,2015,7,2,-21,,,,,Sweden,South Korea,,,
202,22-07-2015,Nations League,England,Australia,13,24,1988,2018,3,0,3,2.11,4.24,69,78,39,1,0,Home Win,2015,7,3,-11,,,,,England,Australia,,,
203,23-07-2015,Nations League,Brazil,Netherlands,6,6,2098,2034,1,4,-3,4.3,3.88,60,68,53,0,1,Away Win,2015,7,5,0,,,,,Brazil,Netherlands,,,
204,24-07-2015,WC Qualifier,Poland,Denmark,10,4,1869,1945,4,2,2,2.57,4.97,77,64,57,1,0,Home Win,2015,7,6,6,,,,,Poland,Denmark,,,
205,25-07-2015,Friendly,Canada,Morocco,18,29,1955,2136,5,5,0,4.33,4.81,53,58,65,1,0,Draw,2015,7,10,-11,,,,,Canada,Morocco,,,
206,26-07-2015,Friendly,Serbia,USA,4,27,1878,1898,5,5,0,3.87,2.71,53,65,52,1,0,Draw,2015,7,10,-23,,,,,Serbia,USA,,,
207,27-07-2015,Continental Cup,Austria,Italy,7,19,2095,2015,3,2,1,4.53,4.84,71,74,63,1,1,Home Win,2015,7,5,-12,,,,,Austria,Italy,,,
208,28-07-2015,Continental Cup,France,Croatia,1,10,2189,2174,2,1,1,3.4,2.61,61,63,46,1,0,Home Win,2015,7,3,-9,,,,,France,Croatia,,,
209,29-07-2015,WC Qualifier,Brazil,Poland,23,18,1766,2022,4,4,0,3.17,3.09,70,72,59,0,1,Draw,2015,7,8,5,,,,,Brazil,Poland,,,
210,30-07-2015,WC Qualifier,England,Australia,14,23,2188,2045,4,4,0,3.95,3.08,79,62,29,0,0,Draw,2015,7,8,-9,,,,,England,Australia,,,
211,31-07-2015,WC Qualifier,Colombia,Italy,10,12,1774,1844,0,2,-2,4.27,3.06,56,64,39,1,1,Away Win,2015,7,2,-2,,,,,Colombia,Italy,,,
212,01-08-2015,Friendly,Japan,Morocco,18,27,1772,1859,1,2,-1,2.91,2.76,41,61,43,1,0,Away Win,2015,8,3,-9,,,,,Japan,Morocco,,,
213,02-08-2015,Continental Cup,Argentina,Serbia,10,20,1940,1901,4,1,3,2.2,3.94,71,54,49,1,1,Home Win,2015,8,5,-10,,,,,Argentina,Serbia,,,
214,03-08-2015,WC Qualifier,Netherlands,Senegal,9,1,1763,1752,3,1,2,2.15,3.2,82,72,30,0,1,Home Win,2015,8,4,8,,,,,Netherlands,Senegal,,,
215,04-08-2015,Continental Cup,Japan,Croatia,17,8,1946,2005,5,0,5,3.1,4.46,58,83,47,1,1,Home Win,2015,8,5,9,,,,,Japan,Croatia,,,
216,05-08-2015,Nations League,Norway,Mexico,18,25,2076,1825,0,2,-2,4.43,4.13,66,44,40,1,1,Away Win,2015,8,2,-7,,,,,Norway,Mexico,,,
217,06-08-2015,WC Qualifier,Uruguay,Switzerland,14,3,1779,2031,4,5,-1,2.67,2.63,46,46,60,1,0,Away Win,2015,8,9,11,,,,,Uruguay,Switzerland,,,
218,07-08-2015,World Cup,Spain,Italy,6,22,2178,2087,4,0,4,3.45,3.2,63,64,56,0,0,Home Win,2015,8,4,-16,,,,,Spain,Italy,,,
219,08-08-2015,WC Qualifier,Serbia,France,28,15,2196,1796,4,0,4,2.82,4.53,40,75,45,0,0,Home Win,2015,8,4,13,,,,,Serbia,France,,,
220,09-08-2015,World Cup,Croatia,Switzerland,8,16,1932,1889,0,5,-5,2.18,2.05,71,59,62,0,0,Away Win,2015,8,5,-8,,,,,Croatia,Switzerland,,,
221,10-08-2015,Continental Cup,Canada,Denmark,6,9,2152,2151,1,4,-3,4.75,3.02,66,83,35,0,0,Away Win,2015,8,5,-3,,,,,Canada,Denmark,,,
222,11-08-2015,WC Qualifier,Poland,Italy,1,8,1782,1752,3,3,0,2.33,3.57,60,64,52,1,1,Draw,2015,8,6,-7,,,,,Poland,Italy,,,
223,12-08-2015,Continental Cup,Turkey,Switzerland,28,3,2103,1828,5,3,2,4.09,4.29,68,57,40,1,1,Home Win,2015,8,8,25,,,,,Turkey,Switzerland,,,
224,13-08-2015,Nations League,Mexico,Belgium,5,15,1957,1788,2,3,-1,4.5,3.54,70,72,59,0,0,Away Win,2015,8,5,-10,,,,,Mexico,Belgium,,,
225,14-08-2015,Nations League,Serbia,Croatia,26,4,2043,2170,1,5,-4,3.5,4.23,64,66,38,1,0,Away Win,2015,8,6,22,,,,,Serbia,Croatia,,,
226,15-08-2015,Nations League,Australia,Japan,9,18,1768,2048,5,2,3,2.56,3.09,69,55,29,0,0,Home Win,2015,8,7,-9,,,,,Australia,Japan,,,
227,16-08-2015,Friendly,Senegal,Austria,14,27,2115,2070,3,0,3,3.76,3.7,40,72,28,1,0,Home Win,2015,8,3,-13,,,,,Senegal,Austria,,,
228,17-08-2015,WC Qualifier,Switzerland,Denmark,4,26,2064,1836,2,0,2,4.11,2.31,48,42,40,1,1,Home Win,2015,8,2,-22,,,,,Switzerland,Denmark,,,
229,18-08-2015,Nations League,England,Brazil,22,14,1843,1947,2,2,0,4.61,4.73,50,62,60,1,0,Draw,2015,8,4,8,,,,,England,Brazil,,,
230,19-08-2015,Continental Cup,Sweden,Belgium,29,23,1950,1827,3,2,1,2.54,4.18,55,68,60,0,1,Home Win,2015,8,5,6,,,,,Sweden,Belgium,,,
231,20-08-2015,WC Qualifier,Canada,Portugal,21,7,2029,2096,3,0,3,2.39,3.9,48,77,46,0,1,Home Win,2015,8,3,14,,,,,Canada,Portugal,,,
232,21-08-2015,WC Qualifier,South Korea,Norway,7,2,1844,2160,3,0,3,3.23,2.94,56,55,47,0,1,Home Win,2015,8,3,5,,,,,South Korea,Norway,,,
233,22-08-2015,World Cup,Germany,Spain,12,23,2033,2085,2,2,0,2.35,4.67,78,49,49,0,1,Draw,2015,8,4,-11,,,,,Germany,Spain,,,
234,23-08-2015,WC Qualifier,Brazil,Argentina,4,30,1801,2104,3,3,0,4.34,4.95,85,50,59,0,1,Draw,2015,8,6,-26,,,,,Brazil,Argentina,,,
235,24-08-2015,Nations League,Canada,England,21,24,2117,1963,2,2,0,4.61,2,58,77,54,0,1,Draw,2015,8,4,-3,,,,,Canada,England,,,
236,25-08-2015,WC Qualifier,France,Netherlands,21,25,1951,2146,4,4,0,2.45,4.87,46,69,56,0,0,Draw,2015,8,8,-4,,,,,France,Netherlands,,,
237,26-08-2015,World Cup,Nigeria,Serbia,11,21,1987,2189,0,1,-1,4.37,4.19,73,50,32,0,0,Away Win,2015,8,1,-10,,,,,Nigeria,Serbia,,,
238,27-08-2015,Nations League,Morocco,Mexico,10,11,1764,1889,1,2,-1,2.16,2.2,75,40,55,0,0,Away Win,2015,8,3,-1,,,,,Morocco,Mexico,,,
239,28-08-2015,Nations League,France,Brazil,17,30,2135,2039,5,4,1,3.66,3.91,56,74,42,1,1,Home Win,2015,8,9,-13,,,,,France,Brazil,,,
240,29-08-2015,WC Qualifier,Switzerland,Poland,10,13,1825,1983,2,0,2,4.67,4.41,61,46,62,0,1,Home Win,2015,8,2,-3,,,,,Switzerland,Poland,,,
241,30-08-2015,Continental Cup,Morocco,USA,21,29,2153,1857,1,1,0,4.41,2.11,79,60,64,1,1,Draw,2015,8,2,-8,,,,,Morocco,USA,,,
242,31-08-2015,World Cup,Croatia,Morocco,14,9,1853,1873,5,2,3,4.25,2.56,46,56,36,0,1,Home Win,2015,8,7,5,,,,,Croatia,Morocco,,,
243,01-09-2015,Friendly,Spain,Morocco,1,3,2043,1832,3,3,0,2.24,2.77,80,46,51,0,1,Draw,2015,9,6,-2,,,,,Spain,Morocco,,,
244,02-09-2015,Continental Cup,Turkey,Argentina,6,15,1865,1905,4,4,0,3.85,4.62,67,55,57,0,0,Draw,2015,9,8,-9,,,,,Turkey,Argentina,,,
245,03-09-2015,Friendly,Norway,Sweden,29,10,1892,2090,2,4,-2,3,3.54,84,59,40,0,1,Away Win,2015,9,6,19,,,,,Norway,Sweden,,,
246,04-09-2015,Friendly,Uruguay,Brazil,10,11,2058,2034,3,5,-2,4.68,4.8,65,75,36,0,0,Away Win,2015,9,8,-1,,,,,Uruguay,Brazil,,,
247,05-09-2015,Nations League,England,Brazil,7,17,1918,2091,0,2,-2,3.19,4.94,63,42,64,1,0,Away Win,2015,9,2,-10,,,,,England,Brazil,,,
248,06-09-2015,Nations League,Nigeria,Canada,17,21,2090,2079,2,0,2,2.01,2.79,58,64,55,0,0,Home Win,2015,9,2,-4,,,,,Nigeria,Canada,,,
249,07-09-2015,WC Qualifier,Belgium,Serbia,1,13,1878,1774,5,0,5,2.06,3.05,71,48,26,0,0,Home Win,2015,9,5,-12,,,,,Belgium,Serbia,,,
250,08-09-2015,World Cup,Argentina,Serbia,7,22,2141,1859,3,2,1,4,4.83,84,57,45,1,1,Home Win,2015,9,5,-15,,,,,Argentina,Serbia,,,
251,09-09-2015,Nations League,Denmark,Spain,11,6,1829,1932,4,2,2,3.28,3.26,40,56,28,1,1,Home Win,2015,9,6,5,,,,,Denmark,Spain,,,
252,10-09-2015,Nations League,Uruguay,Italy,16,1,2180,1774,0,3,-3,3.01,3.22,68,49,37,0,0,Away Win,2015,9,3,15,,,,,Uruguay,Italy,,,
253,11-09-2015,WC Qualifier,Argentina,Norway,20,20,2017,1954,1,2,-1,3.92,2.33,79,65,35,0,0,Away Win,2015,9,3,0,,,,,Argentina,Norway,,,
254,12-09-2015,Friendly,Belgium,Sweden,9,10,1851,1816,1,4,-3,3.5,2.04,57,50,27,0,1,Away Win,2015,9,5,-1,,,,,Belgium,Sweden,,,
255,13-09-2015,Continental Cup,Portugal,Mexico,9,30,2025,1894,0,5,-5,4.37,3.5,78,85,38,0,1,Away Win,2015,9,5,-21,,,,,Portugal,Mexico,,,
256,14-09-2015,Nations League,USA,Norway,11,15,1796,2069,1,4,-3,2.63,3.72,41,46,63,0,0,Away Win,2015,9,5,-4,,,,,USA,Norway,,,
257,15-09-2015,Friendly,Japan,Belgium,22,26,1863,1923,5,1,4,4.26,4.37,78,70,33,0,1,Home Win,2015,9,6,-4,,,,,Japan,Belgium,,,
258,16-09-2015,Continental Cup,Italy,Norway,27,18,2153,1811,2,4,-2,3.35,3.2,72,78,31,0,0,Away Win,2015,9,6,9,,,,,Italy,Norway,,,
259,17-09-2015,WC Qualifier,Germany,Belgium,24,30,2106,1961,1,1,0,4.14,2.62,68,54,49,1,0,Draw,2015,9,2,-6,,,,,Germany,Belgium,,,
260,18-09-2015,WC Qualifier,Argentina,Serbia,3,24,1752,2087,1,0,1,2.22,3.6,57,44,40,1,1,Home Win,2015,9,1,-21,,,,,Argentina,Serbia,,,
261,19-09-2015,Nations League,Netherlands,Poland,17,9,1807,1945,2,4,-2,2.76,4.97,79,68,47,0,0,Away Win,2015,9,6,8,,,,,Netherlands,Poland,,,
262,20-09-2015,World Cup,Japan,Italy,14,2,1829,1753,3,3,0,2.67,3.24,75,64,59,1,0,Draw,2015,9,6,12,,,,,Japan,Italy,,,
263,21-09-2015,Continental Cup,Belgium,Portugal,29,1,2065,2152,0,0,0,3.12,4.29,58,65,25,1,1,Draw,2015,9,0,28,,,,,Belgium,Portugal,,,
264,22-09-2015,World Cup,Morocco,France,2,21,1871,2176,3,4,-1,3.39,4.05,66,78,59,0,1,Away Win,2015,9,7,-19,,,,,Morocco,France,,,
265,23-09-2015,World Cup,South Korea,Switzerland,29,16,1935,1995,2,4,-2,3.77,3.76,68,72,50,1,0,Away Win,2015,9,6,13,,,,,South Korea,Switzerland,,,
266,24-09-2015,Nations League,Norway,Germany,27,28,2100,1872,4,5,-1,2.91,2.07,74,78,42,1,0,Away Win,2015,9,9,-1,,,,,Norway,Germany,,,
267,25-09-2015,WC Qualifier,Nigeria,Denmark,14,16,1902,2147,3,2,1,4.69,4.97,83,83,37,0,1,Home Win,2015,9,5,-2,,,,,Nigeria,Denmark,,,
268,26-09-2015,WC Qualifier,Germany,South Korea,16,13,2097,2021,1,5,-4,2.3,4.1,45,66,34,1,0,Away Win,2015,9,6,3,,,,,Germany,South Korea,,,
269,27-09-2015,Friendly,Spain,South Korea,22,10,2017,1829,1,1,0,4.44,4.11,69,43,60,0,0,Draw,2015,9,2,12,,,,,Spain,South Korea,,,
270,28-09-2015,Nations League,Spain,Italy,12,29,1805,1856,3,2,1,4.91,2.1,50,73,47,0,1,Home Win,2015,9,5,-17,,,,,Spain,Italy,,,
271,29-09-2015,Nations League,Sweden,Portugal,2,27,1982,1930,3,5,-2,4.92,3.52,68,46,65,0,0,Away Win,2015,9,8,-25,,,,,Sweden,Portugal,,,
272,30-09-2015,World Cup,Spain,Austria,19,14,1864,2034,3,1,2,2.71,4.23,66,68,56,1,1,Home Win,2015,9,4,5,,,,,Spain,Austria,,,
273,01-10-2015,Friendly,Australia,Switzerland,1,11,1988,1931,2,4,-2,4.22,2.37,81,80,31,0,1,Away Win,2015,10,6,-10,,,,,Australia,Switzerland,,,
274,02-10-2015,WC Qualifier,Netherlands,Austria,4,28,1758,1823,3,2,1,3.51,3.3,71,55,25,1,0,Home Win,2015,10,5,-24,,,,,Netherlands,Austria,,,
275,03-10-2015,Friendly,Serbia,Canada,2,21,1801,2028,5,5,0,4.73,4.65,68,64,47,0,1,Draw,2015,10,10,-19,,,,,Serbia,Canada,,,
276,04-10-2015,Continental Cup,Senegal,Belgium,29,14,1863,1893,5,4,1,3.68,4.09,75,50,54,0,1,Home Win,2015,10,9,15,,,,,Senegal,Belgium,,,
277,05-10-2015,Friendly,Denmark,Switzerland,18,15,2055,2001,3,2,1,3.03,2.17,51,77,32,1,1,Home Win,2015,10,5,3,,,,,Denmark,Switzerland,,,
278,06-10-2015,Friendly,Denmark,Australia,7,9,2065,1971,5,4,1,4.81,4.28,73,52,62,1,0,Home Win,2015,10,9,-2,,,,,Denmark,Australia,,,
279,07-10-2015,World Cup,South Korea,Germany,16,26,1758,2169,2,3,-1,2.5,2.53,50,45,43,1,1,Away Win,2015,10,5,-10,,,,,South Korea,Germany,,,
280,08-10-2015,WC Qualifier,Portugal,Japan,24,5,1828,1930,2,4,-2,2.53,4.06,72,63,25,0,1,Away Win,2015,10,6,19,,,,,Portugal,Japan,,,
281,09-10-2015,World Cup,Japan,Uruguay,27,9,1791,2051,0,1,-1,2.57,3.66,65,47,25,1,1,Away Win,2015,10,1,18,,,,,Japan,Uruguay,,,
282,10-10-2015,World Cup,Croatia,Norway,14,16,2011,1924,2,4,-2,2.87,4.17,65,44,57,1,0,Away Win,2015,10,6,-2,,,,,Croatia,Norway,,,
283,11-10-2015,Nations League,Croatia,Turkey,29,3,2098,2121,2,2,0,2.68,2.09,68,74,46,0,0,Draw,2015,10,4,26,,,,,Croatia,Turkey,,,
284,12-10-2015,Nations League,France,England,9,5,2111,2068,5,0,5,4.18,4.93,66,57,54,0,1,Home Win,2015,10,5,4,,,,,France,England,,,
285,13-10-2015,WC Qualifier,Portugal,France,12,9,1872,1921,0,3,-3,3.76,3.35,84,84,38,1,0,Away Win,2015,10,3,3,,,,,Portugal,France,,,
286,14-10-2015,Continental Cup,Mexico,Switzerland,5,28,2133,1821,2,5,-3,3.08,2.64,58,84,25,1,1,Away Win,2015,10,7,-23,,,,,Mexico,Switzerland,,,
287,15-10-2015,World Cup,Belgium,Spain,14,25,1813,2080,1,1,0,2.39,2.64,84,78,29,1,0,Draw,2015,10,2,-11,,,,,Belgium,Spain,,,
288,16-10-2015,World Cup,France,Portugal,13,5,1814,1788,2,0,2,3.97,3.6,45,54,58,1,0,Home Win,2015,10,2,8,,,,,France,Portugal,,,
289,17-10-2015,World Cup,Poland,Belgium,26,17,1908,2086,5,5,0,4.15,4.5,49,81,53,1,1,Draw,2015,10,10,9,,,,,Poland,Belgium,,,
290,18-10-2015,Continental Cup,Canada,France,22,7,1820,2141,4,0,4,2.17,3.73,52,81,49,0,0,Home Win,2015,10,4,15,,,,,Canada,France,,,
291,19-10-2015,Continental Cup,Mexico,France,28,22,2167,2120,4,5,-1,2.27,3.95,57,57,38,0,1,Away Win,2015,10,9,6,,,,,Mexico,France,,,
292,20-10-2015,Continental Cup,Nigeria,Mexico,5,29,1815,2155,0,4,-4,2.13,3.78,50,82,47,1,0,Away Win,2015,10,4,-24,,,,,Nigeria,Mexico,,,
293,21-10-2015,Continental Cup,Italy,Portugal,14,15,2055,1889,2,5,-3,3.86,2.41,72,66,51,1,0,Away Win,2015,10,7,-1,,,,,Italy,Portugal,,,
294,22-10-2015,World Cup,Belgium,Switzerland,15,10,2092,1850,4,1,3,3.62,2.11,81,79,44,1,1,Home Win,2015,10,5,5,,,,,Belgium,Switzerland,,,
295,23-10-2015,WC Qualifier,Japan,Nigeria,3,30,1850,1843,5,3,2,5,3.73,44,72,50,0,1,Home Win,2015,10,8,-27,,,,,Japan,Nigeria,,,
296,24-10-2015,World Cup,Senegal,Denmark,11,22,2103,2022,3,3,0,2.68,3.33,57,42,56,1,1,Draw,2015,10,6,-11,,,,,Senegal,Denmark,,,
297,25-10-2015,Friendly,Austria,Belgium,3,3,1950,1775,4,3,1,4.96,3.51,81,40,25,1,1,Home Win,2015,10,7,0,,,,,Austria,Belgium,,,
298,26-10-2015,Continental Cup,Nigeria,Mexico,17,8,2032,1979,5,3,2,4.7,3.33,61,62,27,1,1,Home Win,2015,10,8,9,,,,,Nigeria,Mexico,,,
299,27-10-2015,Continental Cup,Senegal,Australia,20,23,1854,2100,2,3,-1,3.34,3.86,46,85,51,1,1,Away Win,2015,10,5,-3,,,,,Senegal,Australia,,,
300,28-10-2015,WC Qualifier,Nigeria,France,15,24,1796,2081,4,0,4,4.75,2,74,55,43,0,0,Home Win,2015,10,4,-9,,,,,Nigeria,France,,,
301,29-10-2015,Continental Cup,Belgium,Turkey,2,1,2001,1857,4,2,2,2.14,3.03,82,49,58,1,0,Home Win,2015,10,6,1,,,,,Belgium,Turkey,,,
